Full Name,Nationality,NRIC,Passport No. ,New Student Matric/ID No. , Level of study,State,Location,Internet Coverage Rate,Telco, Income ,Access,,,,,,,,,,,,,,
,Malaysian,,,4635,Master,Wilayah Persekutuan,City centre,Moderate (60% - 79%),TM,T20,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4636,Master,Wilayah Persekutuan,City centre,Moderate (60% - 79%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4637,PhD,Outside Malaysia,Outside Malaysia,Very strong (91% - 100%),TM,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4638,Master,Selangor,City centre,Very strong (91% - 100%),Home Wi-Fi,M40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4639,PhD,Selangor,City centre,Moderate (60% - 79%),TM,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4640,Master,Wilayah Persekutuan,City centre,Poor (40%-59%),Digi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4641,Undergraduate,Johor,Small town,Poor (40%-59%),TM,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4642,Undergraduate,Wilayah Persekutuan,City centre,Very strong (91% - 100%),Hotlink,T20,Yes,,,,,,,,,,,,,,
,Malaysian,,,4643,Undergraduate,Kelantan,Outskirts,Strong (80% -90%),Digi,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4644,Undergraduate,Melaka,Outskirts,Moderate (60% - 79%),TM,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4645,Undergraduate,Pulau Pinang,Small town,Moderate (60% - 79%),TM,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4646,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4647,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),TM,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4648,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),Maxis,4564,No,,,,,,,,,,,,,,
,Malaysian,,,4649,Undergraduate,Selangor,City centre,Moderate (60% - 79%),TuneTalk,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4650,Undergraduate,Selangor,City centre,Moderate (60% - 79%),TM,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4651,Undergraduate,Melaka,Outskirts,Moderate (60% - 79%),TM,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4652,Undergraduate,Wilayah Persekutuan,City centre,Very strong (91% - 100%),Maxis,6876,Yes,,,,,,,,,,,,,,
,Malaysian,,,4653,Undergraduate,Selangor,Small town,Strong (80% -90%),Maxis,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4654,Undergraduate,Wilayah Persekutuan,City centre,Very strong (91% - 100%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4655,Undergraduate,Pulau Pinang,Small town,Moderate (60% - 79%),Maxis,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4656,Undergraduate,Wilayah Persekutuan,City centre,Very strong (91% - 100%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4657,Undergraduate,Kedah,Outskirts,Moderate (60% - 79%),Digi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4658,Undergraduate,Johor,Small town,Moderate (60% - 79%),Telekom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4659,Undergraduate,Perak,NA,Strong (80% -90%),TM,3356,Yes,,,,,,,,,,,,,,
,Malaysian,,,4660,Undergraduate,Pahang,Small town,Moderate (60% - 79%),Digi,T20,Yes,,,,,,,,,,,,,,
,Malaysian,,,4661,Undergraduate,Perak,Small town,Moderate (60% - 79%),UMobile,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4662,Undergraduate,Kedah,Outskirts,Poor (40%-59%),Digi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4663,Undergraduate,Johor,Small town,Strong (80% -90%),TM,1599,Yes,,,,,,,,,,,,,,
,Malaysian,,,4664,Undergraduate,Johor,Small town,Moderate (60% - 79%),Digi,7578,No,,,,,,,,,,,,,,
,Non Malaysian,,,4665,PhD,Wilayah Persekutuan,City centre,Strong (80% -90%),UMobile,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4666,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4667,Undergraduate,Selangor,Small town,Moderate (60% - 79%),Maxis,8765,Yes,,,,,,,,,,,,,,
,Malaysian,,,4668,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),Maxis,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4669,Undergraduate,Selangor,Small town,Poor (40%-59%),UMobile,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4670,Undergraduate,Terengganu,Small town,Strong (80% -90%),Digi,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4671,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),Digi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4672,Undergraduate,Pulau Pinang,City centre,Strong (80% -90%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4673,Undergraduate,Perak,Outskirts,Very poor (0%-39%),Celcom,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4674,Undergraduate,Johor,Outskirts,Moderate (60% - 79%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4675,Undergraduate,Negeri Sembilan,City centre,Moderate (60% - 79%),Maxis,10000,Yes,,,,,,,,,,,,,,
,Malaysian,,,4676,Undergraduate,Kedah,Outskirts,Poor (40%-59%),Celcom,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4677,Undergraduate,Selangor,Outskirts,Very strong (91% - 100%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4678,Undergraduate,Selangor,Small town,Strong (80% -90%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4679,Undergraduate,Johor,Small town,Moderate (60% - 79%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4680,Undergraduate,Perak,Outskirts,Strong (80% -90%),DIGI,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4681,Undergraduate,Selangor,Small town,Moderate (60% - 79%),Maxis,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4682,Undergraduate,Selangor,Small town,Strong (80% -90%),Digi,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4683,Undergraduate,Selangor,City centre,Moderate (60% - 79%),Maxis,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4684,Undergraduate,Selangor,City centre,Poor (40%-59%),Digi,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4685,Undergraduate,Perak,Outskirts,Moderate (60% - 79%),Celcom,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4686,Undergraduate,Perak,City centre,Moderate (60% - 79%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4687,Undergraduate,Kelantan,Outskirts,Very strong (91% - 100%),Celcom,2345,Yes,,,,,,,,,,,,,,
,Malaysian,,,4688,Undergraduate,Johor,Small town,Strong (80% -90%),UMobile,4544,Yes,,,,,,,,,,,,,,
,Malaysian,,,4689,Undergraduate,Pahang,Small town,Poor (40%-59%),TM,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4690,Undergraduate,Terengganu,Outskirts,Moderate (60% - 79%),UMobile,7778,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4691,Undergraduate,Perak,Outskirts,Very poor (0%-39%),Xox,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4692,Undergraduate,Selangor,Small town,Moderate (60% - 79%),UMobile,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4693,Undergraduate,Kelantan,Outskirts,Moderate (60% - 79%),Maxis,14999,Yes,,,,,,,,,,,,,,
,Malaysian,,,4694,Undergraduate,Perak,Outskirts,Moderate (60% - 79%),UMobile,B40,NA,,,,,,,,,,,,,,
,Malaysian,,,4695,Undergraduate,Perak,City centre,Moderate (60% - 79%),ONEXOX,B40,Moderate,,,,,,,,,,,,,,
,Non Malaysian,,,4696,PhD,Wilayah Persekutuan,City centre,Moderate (60% - 79%),UMobile,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4697,Undergraduate,Selangor,Small town,Strong (80% -90%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4698,Undergraduate,Selangor,City centre,Poor (40%-59%),UMobile,2356,Yes,,,,,,,,,,,,,,
,Malaysian,,,4699,Undergraduate,Wilayah Persekutuan,City centre,Very strong (91% - 100%),UMobile,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4700,Undergraduate,Pahang,Small town,Very strong (91% - 100%),Maxis,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4701,Undergraduate,Negeri Sembilan,City centre,Poor (40%-59%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4702,Undergraduate,Sarawak,Small town,Strong (80% -90%),RedOne,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4703,Undergraduate,Selangor,Outskirts,Poor (40%-59%),Celcom ,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4704,Undergraduate,Pulau Pinang,Small town,Very poor (0%-39%),UMobile,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4705,PhD,Selangor,Small town,Moderate (60% - 79%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4706,Undergraduate,Kelantan,Small town,Strong (80% -90%),Digi,T20,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4707,Undergraduate,Selangor,Small town,Poor (40%-59%),Celcom,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4708,Undergraduate,Perak,Outskirts,Strong (80% -90%),UMobile,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4709,Undergraduate,Sabah,Outskirts,Moderate (60% - 79%),Celcom,1500,Yes,,,,,,,,,,,,,,
,Malaysian,,,4710,Undergraduate,Selangor,Small town,Moderate (60% - 79%),Maxis,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4711,Undergraduate,Selangor,Outskirts,Poor (40%-59%),Maxis,1000,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4712,Undergraduate,Johor,Small town,Very poor (0%-39%),UMobile,4555,No,,,,,,,,,,,,,,
,Malaysian,,,4713,Undergraduate,Perak,Outskirts,Poor (40%-59%),Digi,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4714,Undergraduate,Wilayah Persekutuan,City centre,Strong (80% -90%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4715,Undergraduate,Wilayah Persekutuan,City centre,Moderate (60% - 79%),UMobile,M40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4716,Undergraduate,Melaka,Outskirts,Poor (40%-59%),Digi,B40,Moderate,,,,,,,,,,,,,,
,Malaysian,,,4717,Master,Selangor,Small town,Poor (40%-59%),Digi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4718,Master,Wilayah Persekutuan,Outskirts,Moderate (60% - 79%),Digi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4719,Undergraduate,Kelantan,Outskirts,Moderate (60% - 79%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4720,Undergraduate,Perak,Small town,Moderate (60% - 79%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4721,Undergraduate,Kelantan,Small town,Poor (40%-59%),RedOne,T20,Yes,,,,,,,,,,,,,,
,Malaysian,,,4722,Undergraduate,Kedah,Outskirts,Strong (80% -90%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4723,Undergraduate,Selangor,Small town,Poor (40%-59%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4724,Undergraduate,Johor,City centre,Poor (40%-59%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4725,Undergraduate,Selangor,Small town,Very poor (0%-39%),Digi,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4726,Undergraduate,Perak,Small town,Moderate (60% - 79%),Digi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4727,Undergraduate,Selangor,City centre,Strong (80% -90%),Maxis,M40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4728,Undergraduate,Wilayah Persekutuan-UM,City centre,Moderate (60% - 79%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4729,Undergraduate,Perak,Outskirts,Moderate (60% - 79%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4730,Undergraduate,Johor,Outskirts,Very poor (0%-39%),RedOne,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4731,Master,Johor,Outskirts,Moderate (60% - 79%),RedOne,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4732,PhD,Selangor,City centre,Poor (40%-59%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4733,Undergraduate,Perak,Small town,Moderate (60% - 79%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4734,Undergraduate,Kelantan,Small town,Poor (40%-59%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4735,Undergraduate,Selangor,Small town,Poor (40%-59%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4736,Undergraduate,Negeri Sembilan,Outskirts,Moderate (60% - 79%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4737,Undergraduate,Terengganu,City centre,Poor (40%-59%),Celcom,T20,Yes,,,,,,,,,,,,,,
,Malaysian,,,4738,Undergraduate,Kelantan,Small town,Poor (40%-59%),Celcom,M40,No,,,,,,,,,,,,,,
,Malaysian,,,4739,Undergraduate,Negeri Sembilan,Outskirts,Poor (40%-59%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4740,Undergraduate,Negeri Sembilan,Small town,Very poor (0%-39%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4741,Undergraduate,Johor,Small town,Moderate (60% - 79%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4742,Undergraduate,Kedah,Outskirts,Strong (80% -90%),Digi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4743,Undergraduate,Kedah,City centre,Moderate (60% - 79%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4744,Undergraduate,Johor,Outskirts,Poor (40%-59%),TM,T20,No,,,,,,,,,,,,,,
,Malaysian,,,4745,Undergraduate,NA,Small town,Strong (80% -90%),Digi,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4746,Undergraduate,Kelantan,Small town,Moderate (60% - 79%),RedOne,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4747,Undergraduate,Selangor,City centre,Moderate (60% - 79%),UMobile,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4748,Undergraduate,Kelantan,City centre,Poor (40%-59%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4749,Master,Wilayah Persekutuan,City centre,Strong (80% -90%),TuneTalk,M40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4750,Master,Selangor,City centre,Very poor (0%-39%),Maxis,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4751,Undergraduate,Perak,Outskirts,Very poor (0%-39%),UMobile,M40,No,,,,,,,,,,,,,,
,Malaysian,,,4752,Master,Wilayah Persekutuan,City centre,Moderate (60% - 79%),Maxis,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4753,Master,Selangor,Small town,Moderate (60% - 79%),Digi,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4754,PhD,Selangor,City centre,Strong (80% -90%),Maxis,M40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4755,Master,Selangor,Small town,Moderate (60% - 79%),Digi,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4756,Master,Wilayah Persekutuan,City centre,Strong (80% -90%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4757,Master,Selangor,City centre,Very strong (91% - 100%),Digi,T20,Yes,,,,,,,,,,,,,,
,Malaysian,,,4758,PhD,Wilayah Persekutuan,City centre,Strong (80% -90%),Digi,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4759,PhD,Melaka,Outskirts,Strong (80% -90%),TM,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4760,Master,Selangor,City centre,Strong (80% -90%),Celcom,T20,Yes,,,,,,,,,,,,,,
,Malaysian,,,4761,Master,Selangor,Small town,Very strong (91% - 100%),Celcom,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4762,Master,Wilayah Persekutuan,City centre,Moderate (60% - 79%),Digi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4763,Master,Pulau Pinang,City centre,Strong (80% -90%),Celcom,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4764,Master,Selangor,City centre,Very strong (91% - 100%),Maxis,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4765,Master,Selangor,City centre,Strong (80% -90%),UMobile,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4766,Master,Pulau Pinang,Small town,Moderate (60% - 79%),Maxis,T20,Yes,,,,,,,,,,,,,,
,Malaysian,,,4767,Master,Wilayah Persekutuan,Small town,Moderate (60% - 79%),Celcom,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4768,Master,Selangor,Small town,Strong (80% -90%),UMobile,T20,Yes,,,,,,,,,,,,,,
,Malaysian,,,4769,Undergraduate,Wilayah Persekutuan,Outskirts,Moderate (60% - 79%),Celcom,M40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4770,Undergraduate,Selangor,City centre,Strong (80% -90%),Digi,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4771,Undergraduate,Pulau Pinang,City centre,Very poor (0%-39%),Maxis,B40,No,,,,,,,,,,,,,,
,Malaysian,,,4772,Undergraduate,Selangor,Outskirts,Strong (80% -90%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4773,Master,Selangor,Small town,Strong (80% -90%),TM,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4774,Master,Perak,Small town,Moderate (60% - 79%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4775,Master,Selangor,City centre,Strong (80% -90%),Digi,B40,Yes,,,,,,,,,,,,,,
,Non Malaysian,,,4776,Master,Wilayah Persekutuan-UM,City centre,Very strong (91% - 100%),Maxis,M40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4777,Undergraduate,Wilayah Persekutuan,Small town,Very strong (91% - 100%),Celcom,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4778,Undergraduate,Wilayah Persekutuan,City centre,Poor (40%-59%),UMobile,3456,Yes,,,,,,,,,,,,,,
,Malaysian,,,4779,Undergraduate,Kelantan,Outskirts,Moderate (60% - 79%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4780,Undergraduate,Selangor,City centre,Strong (80% -90%),UMobile,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4781,Undergraduate,Kedah,Outskirts,Strong (80% -90%),Maxis,B40,Yes,,,,,,,,,,,,,,
,Malaysian,,,4782,Undergraduate,Selangor,Small town,Strong (80% -90%),NA,55658,Yes,,,,,,,,,,,,,,
,Malaysian,,,4783,Undergraduate,Selangor,Small town,Poor (40%-59%),Digi,3333,No,,,,,,,,,,,,,,
,Malaysian,,,4784,Undergraduate,Johor,City centre,Strong (80% -90%),UMobile,B40,Yes,,,,,,,,,,,,,,
